geo_id,geoname_id,name,latitude,longitude,continent,status
370,324490,Aksehir,38.3575,31.41639,Europe/Istanbul,0
371,1524298,Aksu,52.07287,76.9039,Asia/Almaty,0
372,1525462,Aksu,42.4219,69.82795,Asia/Almaty,0
373,344420,Aksum,14.12448,38.72444,Africa/Addis_Ababa,0
374,610612,Aktau,43.64806,51.17222,Asia/Aqtau,0
375,2350886,Aku,6.70902,7.31826,Africa/Lagos,0
376,1865401,Akune,32.01667,130.2,Asia/Tokyo,0
377,2350841,Akure,7.25256,5.19312,Africa/Lagos,0
378,2633274,Akureyri,65.68353,-18.0878,Atlantic/Reykjavik,0
379,2350806,Akwanga,8.91077,8.40655,Africa/Lagos,0
380,2304931,Akwatia,6.04024,-0.80876,Africa/Accra,0
381,752288,Akyazi,40.685,30.62222,Europe/Istanbul,0
382,108841,Al 'Ula,26.60853,37.92316,Asia/Riyadh,0
383,99608,Al `Amarah,31.83588,47.14399,Asia/Baghdad,0
384,361495,Al `Ayyat,29.61972,31.2575,Africa/Cairo,0
385,285111,Al `Ayzariyah,31.77078,35.26917,Asia/Hebron,0
386,99548,Al `Aziziyah,32.90941,45.06359,Asia/Baghdad,0
387,89087,Al Abyar,32.19,20.59653,Africa/Tripoli,0
388,285839,Al Ahmadi,29.07694,48.08389,Asia/Kuwait,0
389,292913,Al Ain,24.19167,55.76056,Asia/Dubai,0
390,174018,Al Bab,36.37051,37.5157,Asia/Damascus,0
391,361478,Al Badari,26.99257,31.41554,Africa/Cairo,0
392,109953,Al Bahah,20.01288,41.46767,Asia/Riyadh,0
393,361457,Al Bajur,30.43026,31.03681,Africa/Cairo,0
394,361435,Al Balyana,26.23568,32.00347,Africa/Cairo,0
395,99532,Al Basrah,30.53302,47.79747,Asia/Baghdad,0
396,388349,Al Basrah al Qadimah,30.50316,47.81507,Asia/Baghdad,0
397,109915,Al Battaliyah,25.43333,49.63333,Asia/Riyadh,0
398,361394,Al Bawiti,28.34919,28.86591,Africa/Cairo,0
399,89055,Al Bayda',32.76272,21.75506,Africa/Tripoli,0
400,79836,Al Bayda',13.98523,45.57272,Asia/Aden,0
401,285108,Al Birah,31.91001,35.21645,Asia/Hebron,0
402,109878,Al Bukayriyah,26.14422,43.65933,Asia/Riyadh,0
403,281161,Al Burayj,31.43944,34.40306,Asia/Gaza,0
404,289317,Al Buraymi,24.25088,55.79312,Asia/Muscat,0
405,285811,Al Fahahil,29.0825,48.13028,Asia/Kuwait,0
406,99454,Al Fallujah,33.34913,43.78599,Asia/Baghdad,0
407,285815,Al Farwaniyah,29.2775,47.95861,Asia/Kuwait,0
408,361329,Al Fashn,28.82431,30.89948,Africa/Cairo,0
409,99446,Al Faw,29.97421,48.47309,Asia/Baghdad,0
